Run_Name,Best_Model,Best_CV_Accuracy,Train_Time,Dataset_Rows,Dataset_Hash
diabetes_20260624_013016,XGBoost,0.98625,2026-06-24 01:30:32,,
diabetes_20260624_020853,XGBoost,0.98625,2026-06-24 02:09:02,,
diabetes_20260624_021950,XGBoost,0.98625,2026-06-24 02:19:59,,
diabetes_20260624_022828,XGBoost,0.98625,2026-06-24 02:28:37,,
diabetes_20260624_023248,XGBoost,0.9806818181818182,2026-06-24 02:32:58,1100.0,c1add395cd8346f10db2b66594f0f252
diabetes_20260707_233147,XGBoost,0.9862500000000001,2026-07-07 23:32:14,1000.0,f0055f8a2130d237053ca2a1d922037a
